total_time:0.01
dt:1e-06
c:188.49555921538757
n_atoms:4000
q:-9.0
time                 rho_0                std                 
0.00741000          3994.62880777       6.28087158          
0.00744000          3994.57161279       6.33856624          
0.00747000          3994.51393859       6.39672950          
0.00750000          3994.45578143       6.45536509          
0.00753000          3994.39713759       6.51447675          
0.00756000          3994.33800328       6.57406829          
0.00759000          3994.27837470       6.63414351          
0.00762000          3994.21824800       6.69470628          
0.00765000          3994.15761932       6.75576044          
0.00768000          3994.09648475       6.81730993          
0.00771000          3994.03484036       6.87935867          
0.00774000          3993.97268218       6.94191063          
0.00777000          3993.91000622       7.00496980          
0.00780000          3993.84680843       7.06854022          
0.00783000          3993.78308475       7.13262594          
0.00786000          3993.71883108       7.19723106          
0.00789000          3993.65404330       7.26235970          
0.00792000          3993.58871723       7.32801600          
0.00795000          3993.52284867       7.39420416          
0.00798000          3993.45643340       7.46092839          
0.00801000          3993.38946713       7.52819295          
0.00804000          3993.32194556       7.59600212          
0.00807000          3993.25386436       7.66436022          
0.00810000          3993.18521914       7.73327159          
0.00813000          3993.11600550       7.80274062          
0.00816000          3993.04621900       7.87277173          
0.00819000          3992.97585513       7.94336937          
0.00822000          3992.90490940       8.01453802          
0.00825000          3992.83337724       8.08628222          
0.00828000          3992.76125405       8.15860650          
0.00831000          3992.68853520       8.23151546          
0.00834000          3992.61521604       8.30501374          
0.00837000          3992.54129184       8.37910598          
0.00840000          3992.46675787       8.45379690          
0.00843000          3992.39160934       8.52909121          
0.00846000          3992.31584143       8.60499370          
0.00849000          3992.23944928       8.68150917          
0.00852000          3992.16242798       8.75864247          
0.00855000          3992.08477261       8.83639847          
0.00858000          3992.00647817       8.91478210          
0.00861000          3991.92753964       8.99379831          
0.00864000          3991.84795197       9.07345210          
0.00867000          3991.76771005       9.15374850          
0.00870000          3991.68680874       9.23469259          
0.00873000          3991.60524286       9.31628948          
0.00876000          3991.52300718       9.39854431          
0.00879000          3991.44009642       9.48146229          
0.00882000          3991.35650528       9.56504863          
0.00885000          3991.27222840       9.64930861          
0.00888000          3991.18726040       9.73424755          
0.00891000          3991.10159581       9.81987079          
0.00894000          3991.01522917       9.90618372          
0.00897000          3990.92815494       9.99319179          
0.00900000          3990.84036755       10.08090047         
0.00903000          3990.75186138       10.16931527         
0.00906000          3990.66263077       10.25844176         
0.00909000          3990.57267001       10.34828554         
0.00912000          3990.48197335       10.43885226         
0.00915000          3990.39053499       10.53014760         
0.00918000          3990.29834907       10.62217730         
0.00921000          3990.20540971       10.71494714         
0.00924000          3990.11171097       10.80846294         
0.00927000          3990.01724685       10.90273056         
0.00930000          3989.92201133       10.99775592         
0.00933000          3989.82599831       11.09354496         
0.00936000          3989.72920167       11.19010370         
0.00939000          3989.63161521       11.28743817         
0.00942000          3989.53323272       11.38555448         
0.00945000          3989.43404791       11.48445876         
0.00948000          3989.33405444       11.58415720         
0.00951000          3989.23324594       11.68465603         
0.00954000          3989.13161597       11.78596153         
0.00957000          3989.02915805       11.88808004         
0.00960000          3988.92586565       11.99101793         
0.00963000          3988.82173217       12.09478162         
0.00966000          3988.71675098       12.19937760         
0.00969000          3988.61091539       12.30481238         
0.00972000          3988.50421864       12.41109254         
0.00975000          3988.39665394       12.51822470         
0.00978000          3988.28821443       12.62621554         
0.00981000          3988.17889321       12.73507178         
0.00984000          3988.06868332       12.84480020         
0.00987000          3987.95757773       12.95540762         
0.00990000          3987.84556938       13.06690092         
0.00993000          3987.73265113       13.17928703         
0.00996000          3987.61881579       13.29257294         
0.00999000          3987.50405613       13.40676568         
